alpha,g,omega,L,nelec,U,Nmax,D,energy,residual,delta_E,residual_ok,cutoff_converged,convention
2.0,3.1622776601683795,5.0,4,"(2, 2)",4.0,8,236196,-11.096353088738773,8.324321776084173e-09,,True,False,paper_uncentered_probe
2.0,3.1622776601683795,5.0,4,"(2, 2)",4.0,10,527076,-11.096616273781834,8.41805779782155e-09,0.0002631850430603322,True,False,paper_uncentered_probe
2.0,3.1622776601683795,5.0,4,"(2, 2)",4.0,12,1028196,-11.096622917819264,9.399435308425531e-09,6.6440374304477245e-06,True,False,paper_uncentered_probe
2.0,3.1622776601683795,5.0,4,"(2, 2)",4.0,14,1822500,-11.096623033583437,9.104338976258378e-09,1.157641733584569e-07,True,False,paper_uncentered_probe
2.0,3.1622776601683795,5.0,4,"(2, 2)",4.0,16,3006756,-11.096623035063125,8.976273028840458e-09,1.4796874836520146e-09,True,True,paper_uncentered_probe
