alpha,g,omega,L,nelec,U,Nmax,D,energy,residual,delta_E,residual_ok,cutoff_converged,convention
4.0,4.47213595499958,5.0,4,"(2, 2)",4.0,8,236196,-24.75931905109368,9.560769309757353e-09,,True,False,paper_uncentered_probe
4.0,4.47213595499958,5.0,4,"(2, 2)",4.0,10,527076,-24.90529229700742,9.128650248322855e-09,0.1459732459137406,True,False,paper_uncentered_probe
4.0,4.47213595499958,5.0,4,"(2, 2)",4.0,12,1028196,-24.924249330368774,9.940792266878229e-09,0.018957033361353126,True,False,paper_uncentered_probe
4.0,4.47213595499958,5.0,4,"(2, 2)",4.0,14,1822500,-24.925844717030827,8.620286828626058e-09,0.0015953866620534995,True,False,paper_uncentered_probe
4.0,4.47213595499958,5.0,4,"(2, 2)",4.0,16,3006756,-24.92593866309151,8.880159178949625e-09,9.394606068369171e-05,True,False,paper_uncentered_probe
