alpha,g,omega,L,nelec,U,Nmax,D,energy_centered,paper_energy_shift,energy_paper,residual,delta_E,residual_ok,cutoff_converged,coupling_convention
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,2,2916,-2.7572081303751363,-16.0,-18.757208130375137,8.97289878118488e-09,,True,False,centered
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,4,22500,-4.945732912757308,-16.0,-20.945732912757308,8.533481872031694e-09,2.188524782382172,True,False,centered
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,6,86436,-6.508181441824274,-16.0,-22.508181441824274,7.805058139087046e-09,1.5624485290669652,True,False,centered
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,8,236196,-7.51236192596667,-16.0,-23.51236192596667,8.707987035457524e-09,1.0041804841423962,True,False,centered
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,10,527076,-8.113777151773387,-16.0,-24.113777151773387,9.945318493626444e-09,0.6014152258067176,True,False,centered
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,12,1028196,-8.440881564080863,-16.0,-24.44088156408086,9.33250275538945e-09,0.32710441230747556,True,False,centered
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,14,1822500,-8.594809025774019,-16.0,-24.59480902577402,8.983923231890732e-09,0.15392746169315608,True,False,centered
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,16,3006756,-8.653912005546461,-16.0,-24.65391200554646,9.959542529235289e-09,0.059102979772442055,True,False,centered
