alpha,g,omega,L,nelec,U,Nmax,D,energy,residual,delta_E,residual_ok,cutoff_converged,convention
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,8,236196,-16.710397361035525,8.977693670604828e-09,,True,False,paper_uncentered_probe
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,10,527076,-17.477407031224924,8.628671600807866e-09,0.7670096701893989,True,False,paper_uncentered_probe
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,12,1028196,-17.927256561771006,9.638131856690945e-09,0.4498495305460821,True,False,paper_uncentered_probe
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,14,1822500,-18.705115193710313,9.379161348049583e-09,0.7778586319393064,True,False,paper_uncentered_probe
4.0,1.4142135623730951,0.5,4,"(2, 2)",4.0,16,3006756,-19.685094977708175,9.507517475131425e-09,0.9799797839978623,True,False,paper_uncentered_probe
